,BG_mu_critical,BG_avg_clustering_coef,BG_avg_shortest_path_len,BG_No_of_communities,BG_modularity,BG_num_loops,BG_avg_cycle_len,BG_loops_per_edge,BG_Omega
47,0.249,0.31190476190476196,2.2362637362637363,4.0,0.24560546875,131.0,8.404580152671755,0.05099260412611911,0.20478613314613314
48,0.25,0.30972222222222223,2.477272727272727,3.0,0.17447916666666669,17.0,6.0588235294117645,0.004175878162613608,0.13365914558428327
49,0.26,0.3737179487179487,2.3846153846153846,3.0,0.3079561042524005,24.0,6.416666666666667,0.0074005550416281225,0.04437798180314323
50,0.26,0.4201587301587301,2.3380952380952382,3.0,0.25310445580715857,163.0,6.791411042944786,0.04249217935349322,-0.02565734681702081
51,0.245,0.37820512820512814,2.5448717948717947,3.0,0.2532699167657551,30.0,6.466666666666667,0.00855431993156544,-0.009363974799339814
52,0.25,0.325,2.725,3.0,0.26199868507560814,326.0,9.134969325153374,0.08803672697812584,0.04253678065054223
53,0.252,0.3904761904761905,1.5879120879120878,3.0,0.287109375,6.0,5.0,0.0015101938082053865,0.37709339384951845
54,0.261,0.4304421768707483,2.2637362637362637,3.0,0.19714285714285715,106.0,7.650943396226415,0.03548711081352528,-0.020103984425191013
55,0.23099999999999998,0.31858974358974357,1.4679487179487178,3.0,0.20507544581618659,6.0,4.5,0.0013392857142857143,0.5966316849380607
56,0.249,0.3059523809523809,1.8131868131868132,3.0,0.2232049947970863,19.0,5.7894736842105265,0.0078870900788709,0.3957153073593075
57,0.25,0.29500000000000004,2.4,3.0,0.27294921875,32.0,7.15625,0.013245033112582781,0.18286136363636363
58,0.25,0.3044444444444444,2.619047619047619,3.0,0.26951331496786046,46.0,7.043478260869565,0.010495094684006388,0.10553628282828298
59,0.24,0.37891156462585035,1.8131868131868132,3.0,0.24567474048442908,56.0,6.160714285714286,0.0128,0.26306224613481766
60,0.26,0.3740575396825397,2.341666666666667,3.0,0.2253125,86.0,6.906976744186046,0.024655963302752295,0.05703701940605854
61,0.251,0.4125850340136054,2.6483516483516483,3.0,0.29063360881542705,54.0,7.018518518518518,0.01657967454712926,-0.09837560314808669
62,0.251,0.297108843537415,1.8736263736263736,4.0,0.29667063020214035,16.0,5.875,0.0039273441335297005,0.38108503521056514
