,ER_mu_critical,ER_avg_clustering_coef,ER_avg_shortest_path_len,ER_No_of_communities,ER_modularity,ER_Omega
84,0.264,0.06082599137014778,2.2225962996663635,4,0.1229772530131483,0.9143445161601345
85,0.264,0.06555664968873377,2.2344484807524427,4,0.1258971284014816,0.901946692340267
86,0.26899999999999996,0.05983530444159291,2.2463224477787587,4,0.11733323544544862,0.9052071434838661
87,0.26899999999999996,0.06090714569976399,2.2525945531796334,4,0.12417102794275542,0.900836884712113
88,0.26,0.07146961198779522,2.1817753001715268,4,0.12019167020238919,0.9172538865698958
89,0.257,0.07173409697319669,2.196476917126683,4,0.1292659791900651,0.9100048968673098
90,0.26,0.06513614248815833,2.196684698435501,3,0.1123913399095412,0.91976373379363
91,0.255,0.06569477196378748,2.225530014978684,4,0.12845655056966937,0.905747191429257
92,0.259,0.06498735934299456,2.2142117403379937,3,0.12067865060380567,0.9119352632590179
93,0.259,0.0701279425432463,2.241138819002516,4,0.1279497299382716,0.892133932753365
94,0.257,0.06253349590706356,2.206035790112223,4,0.1160463419185721,0.9193400237071329
95,0.259,0.07542845556577872,2.1987641807336944,4,0.12546946359956904,0.9034287202415595
96,0.254,0.06328914998444565,2.2805276217839885,4,0.12780181993385675,0.88513079139247
97,0.259,0.07501274510165748,2.176665646362616,3,0.1272598616145669,0.9143654972486729
98,0.26899999999999996,0.059625218493995595,2.319231012458104,5,0.13847433078017507,0.8742547910112042
99,0.256,0.07169076650185627,2.1951331496786044,4,0.13310846228941073,0.9106922740297405
